run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFMET110_PFMHT110_IDTight,HLT_PFMET170_HBHECleaned,HLT_PFMET170_NotCleaned,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,HLT_IsoTkMu24,HLT_Mu50,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
279975,93,65541716,105.436,2.93561,38.9465,2.19339,0.0818316,66.4898,8,3,2,475.934,576.364,255.676,182.392,1,0,1,16.0986,4,0,0,0.76472,42,2409,4,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66571396,39.8767,-2.83907,121.327,-2.5183,1,-81.4506,2,1,1,121.327,137.096,121.327,15.7692,0,0,0,0,2,1,0,0.913195,22,1799,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66965591,107.298,-0.682132,114.072,-0.64526,1,-6.77421,15,1,1,114.072,340.026,114.072,29.8852,0,0,0,0,6,0,0,0.785461,53,2692,4,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65436885,66.5786,-2.65255,0,0,0,66.5786,10,0,0,0,172.325,28.1787,20.2791,0,0,0,0,2,1,0,0.898336,41,2381,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65980425,102.429,-0.0623506,70.3321,-0.69578,0.369187,32.0965,8,3,2,190.505,258.596,91.1574,61.4498,0,0,0,0,4,2,1,0.979646,24,1668,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66766293,73.6377,-2.57254,0,0,0,73.6377,13,0,0,0,235.08,27.6591,26.8209,0,0,0,0,0,0,0,0.539056,50,2574,3,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65531347,48.3208,0.124613,0,0,0,48.3208,8,0,0,0,126.299,29.5733,20.751,1,0,1,10.826,3,0,0,0.712673,50,2780,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0
279975,93,65327817,133.863,0.340564,100.915,0.313722,1,32.9481,4,1,1,100.915,137.346,100.915,12.5982,0,0,0,0,0,0,0,0.534569,38,2110,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,66267847,159.408,2.25557,106.797,2.001,1,52.6106,5,1,1,106.797,181.861,106.797,26.9264,0,0,0,0,2,1,0,0.922088,42,2155,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
279975,93,65945862,27.349,-3.02773,15.7552,1.92114,0.103495,11.5938,12,3,2,152.232,277.186,61.4419,53.4874,0,2,2,23.0004,4,1,1,0.977687,40,2646,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
