run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFMET110_PFMHT110_IDTight,HLT_PFMET170_HBHECleaned,HLT_PFMET170_NotCleaned,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,HLT_IsoTkMu24,HLT_Mu50,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,MET_fraction,N_objects,S_event_proxy,high_MET,high_multiplicity,B_event,B_event_z
279975,93,66379189,75.7967,-1.9547400000000001,0.0,0.0,0.0,75.7967,23,0,0,0.0,389.348,26.6683,24.9127,0,0,0,0.0,11,1,0,0.854759,55,3057,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.9869786071536928,0,0.6931471805599453,0,0,-1.0443236718795705,-0.23959195725690713
279975,93,66071607,60.325,2.64115,58.3391,-0.552046,0.21898800000000002,1.9858799999999999,16,5,2,266.403,435.542,79.8116,65.7675,0,2,2,44.8495,4,0,0,0.775239,47,2741,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.18407032661231265,7,2.0794415416798357,0,0,4.480528294167264,0.9886543276106051
279975,93,66239801,33.2483,2.19456,31.1958,2.80495,1.0,2.05254,18,1,0,31.1958,312.325,31.1958,26.8512,0,0,0,0.0,8,0,0,0.842052,61,3358,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.5080412137992577,1,0.6931471805599453,0,0,-4.337799150745403,-0.9717742937392451
279975,93,65577398,35.1602,2.78481,33.7996,-3.0737099999999997,0.0509772,1.36059,10,3,3,663.034,747.923,269.5,216.707,0,0,0,0.0,1,0,0,0.557801,35,2519,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.050286744369447,3,1.3862943611198906,0,0,1.9695582443745079,0.4304331021325429
279975,93,66493711,71.0197,-0.9713200000000001,55.4208,-1.6436400000000002,1.0,15.5989,8,1,1,55.4208,181.188,55.4208,23.2316,0,0,0,0.0,4,0,0,0.791659,37,2081,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.5572773176501975,1,0.6931471805599453,0,0,-2.5612033443339066,-0.57681399211555
279975,93,66368138,91.8026,2.4392,45.8057,1.45846,0.348071,45.9969,18,3,1,131.599,382.709,62.9719,34.7268,0,0,0,0.0,0,0,0,0.496291,33,2112,5,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.40909957861263024,3,1.3862943611198906,0,0,-0.032799760646966436,-0.014717065827903152
279975,93,66259856,44.9254,3.10321,0.0,0.0,0.0,44.9254,8,0,0,0.0,125.199,29.8648,20.605,0,1,1,12.1502,1,0,0,0.55737,26,1952,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.9782255570991216,1,0.6931471805599453,0,0,-2.4050579874807396,-0.5421008530789142
279975,93,65554254,86.4955,-1.92081,53.1079,-1.62347,0.571705,33.3875,12,2,1,92.8939,266.215,54.721000000000004,38.1729,1,1,2,49.9904,1,0,0,0.552905,49,2618,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.47949325182078323,4,1.6094379124341003,0,0,1.637270976057307,0.35656133048552746
279975,93,65675790,64.7024,-1.10525,41.9787,-1.4902,1.0,22.7237,10,1,0,41.9787,174.86,41.9787,20.1391,0,0,0,0.0,2,0,0,0.685299,38,2277,3,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.6008705334548031,1,0.6931471805599453,0,0,-3.4335680522128045,-0.7707519868503587
279975,93,66782286,66.8868,-0.390596,53.106,-1.79328,0.0712327,13.7808,19,5,4,745.528,963.09,236.68,210.81099999999998,1,0,1,37.485,5,1,1,0.996447,42,2653,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.08222963240895051,6,2.0794415416798357,0,0,8.961917350267674,1.9849252671810782
279975,93,66612938,30.4095,-2.10414,59.6184,-2.53097,1.0,-29.2089,10,1,1,59.6184,179.803,59.6184,20.4836,1,0,1,190.80200000000002,1,0,0,0.560723,30,2067,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.33406790665279545,2,1.0986122886681096,0,0,-2.3714350492109744,-0.5346260375960808
279975,93,66693583,49.5426,2.5102599999999997,27.6607,-0.464012,0.1655,21.881999999999998,4,2,2,167.13400000000001,201.59400000000002,97.0104,70.1235,2,0,2,48.365,1,0,0,0.752368,26,1628,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.22759727044615727,4,1.6094379124341003,0,0,1.3627486633501156,0.29553145805310704
279975,93,65602058,115.02799999999999,0.579231,60.4984,1.1447200000000002,0.473203,54.5295,8,2,1,127.84899999999999,226.782,94.15799999999999,33.6907,0,0,0,0.0,0,0,0,0.5363,24,1839,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.47166399455463204,2,1.0986122886681096,0,0,-0.49164564579657793,-0.11672446027489095
279975,93,65541007,118.37299999999999,-2.92024,128.28799999999998,-2.6450299999999998,0.210421,-9.91479,10,6,6,609.6709999999999,669.6619999999999,188.59099999999998,134.585,2,0,2,40.4399,2,2,2,0.986389,28,2057,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.16236742912636276,8,2.3978952727983707,0,1,16.10006661693965,3.571828476805517
279975,93,66622732,102.396,-1.40468,0.0,0.0,0.0,102.396,11,0,0,0.0,185.50799999999998,26.3902,21.6652,0,0,0,0.0,0,0,0,0.5424760000000001,41,2329,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.9903284459746993,0,0.0,0,0,-3.3524837595354464,-0.7527258964041137
279975,93,65915403,72.9859,2.2599400000000003,127.161,1.93907,1.0,-54.1755,10,1,1,127.161,258.805,127.161,23.8097,0,0,0,0.0,1,0,0,0.7332270000000001,27,1974,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.36284874387823024,1,0.6931471805599453,0,0,-2.8080589992714344,-0.631693207511524
279975,93,66894026,52.0355,-1.6190200000000001,156.51,1.0312700000000001,0.621948,-104.475,11,3,1,251.645,367.061,174.798,40.6521,1,0,1,34.5398,1,0,0,0.557074,29,2143,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.17078710321139687,4,1.6094379124341003,0,0,0.4052724315665266,0.08267206711116179
279975,93,66690704,218.797,-3.0215099999999997,277.749,-3.0091,1.0,-58.9519,7,1,1,277.749,359.324,277.749,16.2091,0,0,0,0.0,3,0,0,0.632959,32,2253,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,-1,1,1,0,0.4397523043095512,1,0.6931471805599453,0,0,0.7324383018768678,0.1554052855238262
279975,93,66548426,93.9238,-2.7907599999999997,44.3217,3.12181,1.0,49.6021,10,1,0,44.3217,185.231,44.3217,22.4544,0,0,0,0.0,3,0,0,0.711155,36,2273,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.6745194638246838,1,0.6931471805599453,0,0,-2.6691912635459865,-0.6008211078532978
