mode,sample_validation_id,region,relative_independent_shape_uncertainty,sideband_anchor_q90_95,upper_observed_total,upper_expected_total,obs_over_exp_upper,background_only_p,background_only_Z,fit_mu_trace,normalisation_scope
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.3,1490.0,1500.0,1491.6577869867017,1.005592578328673,0.48531448683318046,0.036819440015490215,0.005867464728052495,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.4,1490.0,1500.0,1491.6577869867017,1.005592578328673,0.4889384201387203,0.027730822592701564,0.005723980679165074,exact_plus_unit_weight_metadata
exact_plus_unit_weight_metadata,Run2016G_remote_mht_aware_fresh,JetHT_SingleMuon_controls,0.5,1490.0,1500.0,1491.6577869867017,1.005592578328673,0.49119838002552585,0.022064179603334334,0.005886495863138707,exact_plus_unit_weight_metadata
exact_plus_approx_pending,Run2015D_remote_mht_aware_holdout,MET_trace,0.1,294.0,554.0,294.3838221949256,1.8818968918515167,6.494486634452963e-10,6.067533250647627,0.6951386889444796,exact_plus_approx_pending
exact_plus_approx_pending,Run2015D_remote_mht_aware_holdout,MET_trace,0.2,294.0,554.0,294.3838221949256,1.8818968918515167,3.446032562146322e-05,3.979981431857488,0.6166928283692501,exact_plus_approx_pending
exact_plus_approx_pending,Run2015D_remote_mht_aware_holdout,MET_trace,0.3,294.0,554.0,294.3838221949256,1.8818968918515167,0.0012592986274388243,3.0210981250203846,0.6141774243358508,exact_plus_approx_pending
exact_plus_approx_pending,Run2015D_remote_mht_aware_holdout,MET_trace,0.4,294.0,554.0,294.3838221949256,1.8818968918515167,0.006287821742588912,2.4955657840533156,0.6385115445687454,exact_plus_approx_pending
exact_plus_approx_pending,Run2015D_remote_mht_aware_holdout,MET_trace,0.5,294.0,554.0,294.3838221949256,1.8818968918515167,0.015068390626597733,2.168287995098758,0.674645323103509,exact_plus_approx_pending
exact_plus_approx_pending,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.1,1240.0,1250.0,1241.6188419105706,1.0067501859721562,0.4575434361373606,0.1066245112411224,0.006931919102520613,exact_plus_approx_pending
exact_plus_approx_pending,Run2015D_remote_mht_aware_holdout,JetHT_SingleMuon_controls,0.2,1240.0,1250.0,1241.6188419105706,1.0067501859721562,0.4743673062583866,0.06429590692163596,0.0069946740054848714,exact_plus_approx_pending
