canonical_path,relative_to_project,bytes,extension,included_in_handoff,reason
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_EF857ADB-D98F-3F4A-A847-C8AC759ED9B3_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_jetht_run2016g_collision_EF857ADB-D98F-3F4A-A847-C8AC759ED9B3_event_features.csv,2881335,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_met_run2016g_collision_020ADD62-87D5-4B43-BAAD-C77C83D5FF8F_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_met_run2016g_collision_020ADD62-87D5-4B43-BAAD-C77C83D5FF8F_event_features.csv,2839676,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_met_run2016g_collision_0313FB78-4AB7-024F-9BAF-454665B7A5FF_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_met_run2016g_collision_0313FB78-4AB7-024F-9BAF-454665B7A5FF_event_features.csv,2785278,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_met_run2016g_collision_0E1A8650-EA73-264D-8BA5-92902470681F_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_met_run2016g_collision_0E1A8650-EA73-264D-8BA5-92902470681F_event_features.csv,2826951,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_singlemuon_run2016g_collision_001FDE5F-A989-2F48-A280-D4D0F7766D95_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_singlemuon_run2016g_collision_001FDE5F-A989-2F48-A280-D4D0F7766D95_event_features.csv,2990122,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_singlemuon_run2016g_collision_080625AC-04AC-BC49-B816-7FF6BB62AAC0_event_features.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\cms_singlemuon_run2016g_collision_080625AC-04AC-BC49-B816-7FF6BB62AAC0_event_features.csv,2990955,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_5k_by_file\real_only_trigger_filter_5k_combined.csv,data\processed\cmssw_real_only_trigger_filter_5k_by_file\real_only_trigger_filter_5k_combined.csv,24762626,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_full\cms_jetht_run2016g_collision_0002568B-EAD1-4949-B6FB-4E3C6B61FEFF_event_features.csv,data\processed\cmssw_real_only_trigger_filter_full\cms_jetht_run2016g_collision_0002568B-EAD1-4949-B6FB-4E3C6B61FEFF_event_features.csv,35511537,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_full\cms_jetht_run2016g_collision_35017A26-8C9D-204D-92B6-3ABFBBD4ADF3_event_features.csv,data\processed\cmssw_real_only_trigger_filter_full\cms_jetht_run2016g_collision_35017A26-8C9D-204D-92B6-3ABFBBD4ADF3_event_features.csv,10026454,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
D:\Gamer File\My Work\The PhD\Extra\Nframe\nframe_cms_stage2_event_boundary\data\processed\cmssw_real_only_trigger_filter_full\cms_jetht_run2016g_collision_94C50CE8-43B0-AF4D-A8AE-BE0C7EC09B80_event_features.csv,data\processed\cmssw_real_only_trigger_filter_full\cms_jetht_run2016g_collision_94C50CE8-43B0-AF4D-A8AE-BE0C7EC09B80_event_features.csv,1692739,.csv,False,raw/intermediate data retained locally; use manifests or documented remote access
