event_id,source_file,source_entry,extraction_mode,full_boundary_features_available,jet_only_features_available,MET_pt,MET_phi,N_jets,N_jets_30,N_jets_50,HT,leading_jet_pt,subleading_jet_pt,leading_jet_eta,jet_mass_sum_30,N_leptons,N_muons,N_electrons,N_btags_loose,N_btags_medium,N_btags_tight,N_b_hadron_flavour_proxy,N_PF_candidates,event_weight,missing_MET,missing_leptons,missing_btags
218,0438B51F-9A50-8642-9963-CDB942DD12D9.root,218,uproot_edm_partial_jets,0,1,,,2,2,2,257.6233444213867,167.2387237548828,90.3846206665039,-1.6900769472122192,50.17464256286621,,,,,,,0,,1.0,1,1,1
219,0438B51F-9A50-8642-9963-CDB942DD12D9.root,219,uproot_edm_partial_jets,0,1,,,4,4,3,255.17807006835938,103.05426788330078,54.623565673828125,0.6963629722595215,40.39342975616455,,,,,,,0,,1.0,1,1,1
220,0438B51F-9A50-8642-9963-CDB942DD12D9.root,220,uproot_edm_partial_jets,0,1,,,3,3,3,548.0851593017578,364.4375,101.35953521728516,1.2285090684890747,57.22873592376709,,,,,,,0,,1.0,1,1,1
221,0438B51F-9A50-8642-9963-CDB942DD12D9.root,221,uproot_edm_partial_jets,0,1,,,3,3,2,213.28218460083008,109.99958801269531,60.194000244140625,1.3803458213806152,30.487260818481445,,,,,,,0,,1.0,1,1,1
222,0438B51F-9A50-8642-9963-CDB942DD12D9.root,222,uproot_edm_partial_jets,0,1,,,2,2,1,170.50091171264648,130.8511199951172,39.6497917175293,-1.6978658437728882,35.940762519836426,,,,,,,0,,1.0,1,1,1
223,0438B51F-9A50-8642-9963-CDB942DD12D9.root,223,uproot_edm_partial_jets,0,1,,,1,1,1,89.30284881591797,89.30284881591797,27.112018585205078,0.5691010355949402,13.650919914245605,,,,,,,0,,1.0,1,1,1
224,0438B51F-9A50-8642-9963-CDB942DD12D9.root,224,uproot_edm_partial_jets,0,1,,,2,2,2,194.34357833862305,135.44595336914062,58.89762496948242,-1.687684178352356,36.65669631958008,,,,,,,0,,1.0,1,1,1
225,0438B51F-9A50-8642-9963-CDB942DD12D9.root,225,uproot_edm_partial_jets,0,1,,,2,2,2,550.1555786132812,372.0467529296875,178.10882568359375,-1.8049713373184204,50.704769134521484,,,,,,,0,,1.0,1,1,1
226,0438B51F-9A50-8642-9963-CDB942DD12D9.root,226,uproot_edm_partial_jets,0,1,,,2,2,2,249.48513412475586,191.37957763671875,58.10555648803711,0.21949255466461182,21.625608444213867,,,,,,,0,,1.0,1,1,1
227,0438B51F-9A50-8642-9963-CDB942DD12D9.root,227,uproot_edm_partial_jets,0,1,,,2,2,2,237.34308624267578,154.28695678710938,83.0561294555664,-1.6935032606124878,47.31739807128906,,,,,,,0,,1.0,1,1,1
