variant,jet_bin,met_bin,score_band,observed,met_bin_n,sm_fraction,expected_official_shape,midpoint,shape_correction,expected_shape
lepton_aware_resid,3to4jets,1,q0975_099,350,25674,0.005588604812047434,143.48183994450582,0.9825,2.4319256825615923,348.93717154223543
lepton_aware_resid,3to4jets,1,q099_100,5,25674,0.0003294532089688372,8.458381687065927,0.995,2.521554320162035,21.328268884600533
lepton_aware_resid,3to4jets,2,q000_050,2803,22105,0.3356680923551665,7419.943181510955,0.25,0.2916579311079142,2164.08527725776
lepton_aware_resid,3to4jets,2,q050_080,9000,22105,0.42572756304792075,9410.707781174287,0.65,0.9286471359989834,8739.226828710849
lepton_aware_resid,3to4jets,2,q080_090,5673,22105,0.1515182778192907,3349.3115311954207,0.85,1.6570636483615246,5550.022385382008
lepton_aware_resid,3to4jets,2,q090_095,3311,22105,0.06290059404662987,1390.4176314007532,0.925,2.0589574186401576,2862.810697180657
lepton_aware_resid,3to4jets,2,q095_0975,1102,22105,0.019965317839137645,441.33335083413766,0.9625,2.295099152053522,1012.9037992723689
lepton_aware_resid,3to4jets,2,q0975_099,210,22105,0.0040612644140634105,89.77424987287169,0.9825,2.4319256825615923,218.32430389853843
lepton_aware_resid,3to4jets,2,q099_100,6,22105,0.00015889047779120137,3.5122740115745064,0.995,2.521554320162035,8.856389707478538
lepton_aware_resid,3to4jets,3,q000_050,2002,19426,0.3244930225707729,6303.6014564598345,0.25,0.2916579311079142,1838.4953593199102
lepton_aware_resid,3to4jets,3,q050_080,7794,19426,0.4430978293842261,8607.618433617976,0.65,0.9286471359989834,7993.440206151389
lepton_aware_resid,3to4jets,3,q080_090,5563,19426,0.15353456365504442,2982.5624335628927,0.85,1.6570636483615246,4942.295787625754
lepton_aware_resid,3to4jets,3,q090_095,3018,19426,0.05949030408351881,1155.6586471264363,0.925,2.0589574186401576,2379.451944916624
lepton_aware_resid,3to4jets,3,q095_0975,897,19426,0.015865413431999258,308.20152133001756,0.9625,2.295099152053522,707.3530502661289
lepton_aware_resid,3to4jets,3,q0975_099,147,19426,0.0033867889611327896,65.79176235896557,0.9825,2.4319256825615923,160.0006765817574
lepton_aware_resid,3to4jets,3,q099_100,5,19426,0.00013207791330570188,2.565745543876565,0.995,2.521554320162035,6.469666760598443
lepton_aware_resid,3to4jets,4,q000_050,1592,17153,0.32078682608521136,5502.45642783963,0.25,0.2916579311079142,1604.8350577551505
lepton_aware_resid,3to4jets,4,q050_080,6823,17153,0.45114311529703555,7738.457856690051,0.65,0.9286471359989834,7186.296725664048
lepton_aware_resid,3to4jets,4,q080_090,5068,17153,0.15390201892323285,2639.881330590213,0.85,1.6570636483615246,4374.451388909295
lepton_aware_resid,3to4jets,4,q090_095,2732,17153,0.056876655385297945,975.6052698240156,0.925,2.0589574186401576,2008.7297079685898
lepton_aware_resid,3to4jets,4,q095_0975,815,17153,0.014138064093370588,242.5102133935857,0.9625,2.295099152053522,556.5849851239373
lepton_aware_resid,3to4jets,4,q0975_099,121,17153,0.0029848273580666673,51.198743672917544,0.9825,2.4319256825615923,124.511539653056
lepton_aware_resid,3to4jets,4,q099_100,2,17153,0.00016849285778494094,2.890157989585092,0.995,2.521554320162035,7.2876903645891105
lepton_aware_resid,3to4jets,5,q000_050,1523,15552,0.3234563900794689,5030.3937785159005,0.25,0.2916579311079142,1467.1542421000709
lepton_aware_resid,3to4jets,5,q050_080,6289,15552,0.4499432686974462,6997.5177147826835,0.65,0.9286471359989834,6498.224784935091
lepton_aware_resid,3to4jets,5,q080_090,4473,15552,0.15259010956415764,2373.0813839417797,0.85,1.6570636483615246,3932.3468959333813
lepton_aware_resid,3to4jets,5,q090_095,2418,15552,0.05677411078307757,882.9509708984224,0.925,2.0589574186401576,1817.9584518268366
lepton_aware_resid,3to4jets,5,q095_0975,724,15552,0.013963760504661558,217.16440336849655,0.9625,2.295099152053522,498.4138380272455
