comparison,bootstrap_delta_auc
standard_plus_trace_axis_vs_standard_CMS_like,0.00040332142586640973
standard_plus_trace_axis_vs_standard_CMS_like,0.00027925247692472954
standard_plus_trace_axis_vs_standard_CMS_like,0.0005376127302152423
standard_plus_trace_axis_vs_standard_CMS_like,0.0005701357916584326
standard_plus_trace_axis_vs_standard_CMS_like,0.0006184222848454324
standard_plus_trace_axis_vs_standard_CMS_like,0.0005767579679806234
standard_plus_trace_axis_vs_standard_CMS_like,0.00046576530750930267
standard_plus_trace_axis_vs_standard_CMS_like,0.0005247365009424243
standard_plus_trace_axis_vs_standard_CMS_like,0.000568992307085292
standard_plus_trace_axis_vs_standard_CMS_like,0.00023525444115080063
standard_plus_trace_axis_vs_standard_CMS_like,0.00031869681259333316
standard_plus_trace_axis_vs_standard_CMS_like,0.00029200707313770113
standard_plus_trace_axis_vs_standard_CMS_like,0.00041257206438682914
standard_plus_trace_axis_vs_standard_CMS_like,0.000530298935211504
standard_plus_trace_axis_vs_standard_CMS_like,0.0006423213046895526
standard_plus_trace_axis_vs_standard_CMS_like,0.0005206813684364153
standard_plus_trace_axis_vs_standard_CMS_like,0.000707539820467673
standard_plus_trace_axis_vs_standard_CMS_like,0.0006620049374989057
standard_plus_trace_axis_vs_standard_CMS_like,0.0004486663265235169
standard_plus_trace_axis_vs_standard_CMS_like,0.0006881130700979732
standard_plus_trace_axis_vs_standard_CMS_like,0.0007019383547037794
standard_plus_trace_axis_vs_standard_CMS_like,0.0004726986645972042
standard_plus_trace_axis_vs_standard_CMS_like,0.0004980501788651726
standard_plus_trace_axis_vs_standard_CMS_like,0.0005498425537732166
standard_plus_trace_axis_vs_standard_CMS_like,0.0004495160370742157
standard_plus_trace_axis_vs_standard_CMS_like,0.0003540491255382694
standard_plus_trace_axis_vs_standard_CMS_like,0.00046172576695668877
standard_plus_trace_axis_vs_standard_CMS_like,0.0005345979560249514
standard_plus_trace_axis_vs_standard_CMS_like,0.0005132627735928708
standard_plus_trace_axis_vs_standard_CMS_like,0.0003545084124231268
standard_plus_trace_axis_vs_standard_CMS_like,0.0005148961068980329
standard_plus_trace_axis_vs_standard_CMS_like,0.00047642275604697915
