event_id,source_file,source_entry,extraction_mode,full_boundary_features_available,jet_only_features_available,MET_pt,MET_phi,N_jets,N_jets_30,N_jets_50,HT,leading_jet_pt,subleading_jet_pt,leading_jet_eta,jet_mass_sum_30,N_leptons,N_muons,N_electrons,N_btags_loose,N_btags_medium,N_btags_tight,N_b_hadron_flavour_proxy,N_PF_candidates,event_weight,missing_MET,missing_leptons,missing_btags,MET_fraction,N_objects,Visible_HT,Nb_missing,S_event_proxy,high_MET,high_multiplicity,R_reconstruction,B_event_jetonly,B_event_jetonly_z,B_event,B_event_z,B_event_status,isolation_score,lof_score,robust_mahalanobis,boundary_outlier_score
112299,A070E244-088C-F241-BAF7-17B1707FD096.root,14647,uproot_edm_partial_jets,0,1,,,3,3,3,1368.4974822998047,794.0762329101562,426.28875732421875,0.025644294917583466,127.35823631286621,,,,,,,0,,1.0,1,1,1,,3.0,1368.4974822998047,1,1.3862943611198906,0,0,0.35268570320841036,2.2191864102871417,0.6353264635325152,1.4568312126183738,0.5672377631302054,partial_jet_level_real_miniaod,0.6543342477802062,-1,526.7290288706181,2.8338066024842834
101143,A070E244-088C-F241-BAF7-17B1707FD096.root,3491,uproot_edm_partial_jets,0,1,,,3,3,3,1383.1728401184082,856.8389282226562,464.8136291503906,0.5209032297134399,202.3587293624878,,,,,,,0,,1.0,1,1,1,,3.0,1383.1728401184082,1,1.3862943611198906,0,0,0.35268570320841036,2.2264619889055783,0.6374093744643671,1.46410679123681,0.5700706121969015,partial_jet_level_real_miniaod,0.6545556420249393,-1,475.9209019529185,2.833681325356091
30469,154D5639-79E6-914A-B36C-2EE986A9A5E0.root,6700,uproot_edm_partial_jets,0,1,,,3,3,3,1335.0351791381836,807.6080932617188,452.9996643066406,-1.6246368885040283,149.5649700164795,,,,,,,0,,1.0,1,1,1,,3.0,1335.0351791381836,1,1.3862943611198906,0,0,0.35268570320841036,2.2025968578949198,0.6305770735740691,1.4402416602261519,0.5607783871168495,partial_jet_level_real_miniaod,0.6536705142456489,-1,451.05673266202183,2.8331612354602607
118828,A070E244-088C-F241-BAF7-17B1707FD096.root,21176,uproot_edm_partial_jets,0,1,,,3,3,3,1504.1790466308594,704.2936401367188,535.8192138671875,0.8996460437774658,150.71755409240723,,,,,,,0,,1.0,1,1,1,,3.0,1504.1790466308594,1,1.3862943611198906,0,0,0.35268570320841036,2.2864530419130933,0.654584093710203,1.5240978442443254,0.5934289741135491,partial_jet_level_real_miniaod,0.6518317325796532,-1,1133.666084851009,2.832887903544204
79705,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,33392,uproot_edm_partial_jets,0,1,,,3,3,3,1341.9367065429688,727.9382934570312,321.7279968261719,-0.022972872480750084,168.63036346435547,,,,,,,0,,1.0,1,1,1,,3.0,1341.9367065429688,1,1.3862943611198906,0,0,0.35268570320841036,2.206018417071975,0.6315566249455308,1.4436632194032066,0.5621106194010013,partial_jet_level_real_miniaod,0.6521244197485443,-1,589.1897810563205,2.832508275883014
98593,A070E244-088C-F241-BAF7-17B1707FD096.root,941,uproot_edm_partial_jets,0,1,,,3,3,2,1580.4546813964844,1044.7369384765625,493.0467224121094,-1.7925548553466797,156.8207540512085,,,,,,,0,,1.0,1,1,1,,3.0,1580.4546813964844,1,1.3862943611198906,0,0,0.35268570320841036,1.588131621054802,0.4546630430646677,1.5619128934082345,0.6081527964167808,partial_jet_level_real_miniaod,0.6508618262260599,-1,695.4170338906921,2.832159018434719
3248,0438B51F-9A50-8642-9963-CDB942DD12D9.root,3248,uproot_edm_partial_jets,0,1,,,3,3,3,1328.7155456542969,769.9518432617188,424.0439758300781,1.3294042348861694,133.49368286132812,,,,,,,0,,1.0,1,1,1,,3.0,1328.7155456542969,1,1.3862943611198906,0,0,0.35268570320841036,2.1994637833341457,0.6296801118896189,1.4371085856653778,0.5595584803835365,partial_jet_level_real_miniaod,0.6516833505179466,-1,487.96152333348823,2.8320375375831386
3384,0438B51F-9A50-8642-9963-CDB942DD12D9.root,3384,uproot_edm_partial_jets,0,1,,,3,3,3,1298.4182968139648,793.7470092773438,437.33721923828125,0.8661700487136841,122.27322387695312,,,,,,,0,,1.0,1,1,1,,3.0,1298.4182968139648,1,1.3862943611198906,0,0,0.35268570320841036,2.1844433648486263,0.6253799461563813,1.422088167179858,0.553710068769886,partial_jet_level_real_miniaod,0.652565787501524,-1,409.93437618105384,2.8319957785404077
18284,0438B51F-9A50-8642-9963-CDB942DD12D9.root,18284,uproot_edm_partial_jets,0,1,,,3,3,3,1300.0285263061523,842.1232299804688,392.0319519042969,1.0071073770523071,107.93550109863281,,,,,,,0,,1.0,1,1,1,,3.0,1300.0285263061523,1,1.3862943611198906,0,0,0.35268570320841036,2.1852416657424745,0.625608490131494,1.4228864680737066,0.5540208984730179,partial_jet_level_real_miniaod,0.6527865833870409,-1,380.5201618392377,2.831794575879977
57514,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,11201,uproot_edm_partial_jets,0,1,,,3,3,2,1452.821002960205,958.7818603515625,458.17254638671875,1.2874802350997925,156.23719835281372,,,,,,,0,,1.0,1,1,1,,3.0,1452.821002960205,1,1.3862943611198906,0,0,0.35268570320841036,1.524854876916665,0.43654766984014765,1.498636149270097,0.5835151043545901,partial_jet_level_real_miniaod,0.6505891087390651,-1,565.5059502055681,2.831673095028396
71909,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,25596,uproot_edm_partial_jets,0,1,,,3,3,3,1253.374038696289,955.7626342773438,204.5937042236328,1.6548322439193726,92.54664421081543,,,,,,,0,,1.0,1,1,1,,3.0,1253.374038696289,1,1.3862943611198906,0,0,0.35268570320841036,2.1621118452158408,0.6189866998171659,1.3997566475470729,0.545014976892336,partial_jet_level_real_miniaod,0.6516962652604545,-1,416.9580042059281,2.831566799283263
105996,A070E244-088C-F241-BAF7-17B1707FD096.root,8344,uproot_edm_partial_jets,0,1,,,3,3,3,1303.6711883544922,763.4032592773438,417.67559814453125,-1.6510961055755615,126.58475112915039,,,,,,,0,,1.0,1,1,1,,3.0,1303.6711883544922,1,1.3862943611198906,0,0,0.35268570320841036,2.187047582466324,0.6261255024384723,1.4246923847975559,0.5547240575994583,partial_jet_level_real_miniaod,0.6514629277854395,-1,452.4087972230079,2.831525040240532
120958,ED10716D-8AF9-DA43-A815-110D277A790B.root,734,uproot_edm_partial_jets,0,1,,,3,3,3,1257.5898742675781,794.0905151367188,395.47088623046875,-1.207181453704834,109.25887203216553,,,,,,,0,,1.0,1,1,1,,3.0,1257.5898742675781,1,1.3862943611198906,0,0,0.35268570320841036,2.1642019232582603,0.6195850641028527,1.4018467255894924,0.5458287782327252,partial_jet_level_real_miniaod,0.652565787501524,-1,356.9515946203479,2.831411151942175
8583,0438B51F-9A50-8642-9963-CDB942DD12D9.root,8583,uproot_edm_partial_jets,0,1,,,3,3,2,1532.8959884643555,917.6442260742188,579.0742797851562,0.31852957606315613,102.09014701843262,,,,,,,0,,1.0,1,1,1,,3.0,1532.8959884643555,1,1.3862943611198906,0,0,0.35268570320841036,1.5645535241051558,0.4479129165847983,1.5383347964585883,0.5989723320934317,partial_jet_level_real_miniaod,0.6498572773336616,-1,752.5958169677074,2.8313542077929967
68823,4BF81994-E99D-2D45-8C35-E5B7BDC8BB89.root,22510,uproot_edm_partial_jets,0,1,,,3,3,3,1280.2432861328125,761.9335327148438,379.0583801269531,0.5706972479820251,101.01903915405273,,,,,,,0,,1.0,1,1,1,,3.0,1280.2432861328125,1,1.3862943611198906,0,0,0.35268570320841036,2.1754327689411097,0.6228003205757152,1.4130775712723418,0.5502016662708323,partial_jet_level_real_miniaod,0.6514629277854395,-1,415.6576138742509,2.8312441157712516
32493,154D5639-79E6-914A-B36C-2EE986A9A5E0.root,8724,uproot_edm_partial_jets,0,1,,,3,3,3,1269.7627410888672,770.3956298828125,259.54534912109375,1.619228482246399,129.16926956176758,,,,,,,0,,1.0,1,1,1,,3.0,1269.7627410888672,1,1.3862943611198906,0,0,0.35268570320841036,2.170236845926911,0.6213127901104529,1.4078816482581429,0.5481785604213403,partial_jet_level_real_miniaod,0.6514629277854395,-1,390.9599520885711,2.8310239317277612
