record_id,process_family,file_index,xrootd_url,status,lumi_entries,num_events_total,num_events_passed,sum_weights_total,sum_weights_passed
68072,TTAssoc,27,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/8516C095-9531-9C44-B4AC-94F7D35ECA34.root,0,44,25249,25249,15607.3,15607.3
68072,TTAssoc,28,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/8AF396EF-6D4D-BD4E-99B3-FBCC980A3CF8.root,0,44,25069,25069,15496.0,15496.0
68072,TTAssoc,29,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/92357A3D-DD68-AE4F-AC4E-6E82EDB65FB3.root,0,44,24919,24919,15403.3,15403.3
68072,TTAssoc,30,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/96F272E2-E694-F141-8EF4-73EFA49ACE9B.root,0,43,24465,24465,15122.7,15122.7
68072,TTAssoc,31,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/97EB24F6-9983-4A47-B376-D92930FC186B.root,0,44,25215,25215,15586.3,15586.3
68072,TTAssoc,32,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/9E27B04D-6032-B240-A423-E44BE2B74DDB.root,0,35,20031,20031,12381.8,12381.8
68072,TTAssoc,33,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/A0B41512-3C00-FA45-8B4D-42329D680FB5.root,0,43,24423,24423,15096.7,15096.7
68072,TTAssoc,34,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/A35C901F-1E7E-854A-9F4F-45C57110521A.root,0,43,24349,24349,15051.0,15051.0
68072,TTAssoc,35,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/ABFBBAA6-1FE9-CB46-A4FF-1DED867CEC60.root,0,44,24839,24839,15353.8,15353.8
68072,TTAssoc,36,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/1305DBDF-00B7-644C-98ED-57700A600C05.root,0,43,24655,24655,15240.1,15240.1
68072,TTAssoc,37,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/AF4E1432-4C97-4F4A-9474-A240599E4337.root,0,44,24821,24821,15342.7,15342.7
68072,TTAssoc,38,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/B5110753-8123-B34C-887F-C0CB51CAAA72.root,0,44,25086,25086,15506.5,15506.5
68072,TTAssoc,39,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/BD23E124-7238-AD4A-8BCE-3AC2B23BA4FA.root,0,44,25347,25347,15667.8,15667.8
68072,TTAssoc,40,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/C9183F63-3E91-3347-BB1A-3BAE6F21A2C3.root,0,44,24937,24937,15414.4,15414.4
68072,TTAssoc,41,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/CE2932AA-1B30-E943-9FBA-51BB4EEDCC7E.root,0,44,24899,24899,15390.9,15390.9
68072,TTAssoc,42,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/D26216EB-18F4-7E47-AE31-0FC9D4745131.root,0,43,24591,24591,15200.5,15200.5
68072,TTAssoc,43,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/D5AB0847-E7CF-694E-901F-84536C366009.root,0,43,24525,24525,15159.7,15159.7
68072,TTAssoc,44,root://eospublic.cern.ch//eos/opendata/cms/mc/RunIISummer20UL16MiniAODv2/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/MINIAODSIM/106X_mcRun2_asymptotic_v17-v1/270000/D685031C-F9A1-8343-9903-0567D50BD743.root,0,44,25052,25052,15485.5,15485.5
