outcome,feature_set,model,scheme,n,r2,mae,rmse,corr
abs_Poisson,baseline_metadata,forest,GroupKFold_by_analysis,752,-0.04826259780526754,0.6578337025070607,0.8766708985758013,-0.07109362222770392
abs_Poisson,baseline_metadata,forest,ATLAS_train_CMS_test,197,-0.06124775519186132,0.7016449854781047,0.9148038071409925,-0.030666215425280894
abs_Poisson,baseline_metadata,forest,CMS_train_ATLAS_test,555,-0.0019030831197617282,0.6191322123233292,0.8449406742057575,0.03904287186973141
abs_Poisson,current_B_rare,ols,GroupKFold_by_analysis,752,-0.017152550441858816,0.6489622450064089,0.8635641231586235,0.05539800811136665
abs_Poisson,current_B_rare,ols,ATLAS_train_CMS_test,197,-1.4732354441690698,1.075497601026092,1.3965365353304646,-0.01693971506906008
abs_Poisson,current_B_rare,ols,CMS_train_ATLAS_test,555,0.024866417877514535,0.6304367576948678,0.8335764124090808,0.16808617286141547
abs_Poisson,current_B_rare,ridge,GroupKFold_by_analysis,752,-0.026215092119767247,0.6490672849909359,0.867402648180611,-0.015562452223094344
abs_Poisson,current_B_rare,ridge,ATLAS_train_CMS_test,197,-1.393512019430796,1.0740687973929672,1.3738438608461978,-0.04170229999794317
abs_Poisson,current_B_rare,ridge,CMS_train_ATLAS_test,555,0.0012542062298871448,0.6386993395151652,0.8436082962303738,0.14592623452267223
abs_Poisson,current_B_rare,elasticnet,GroupKFold_by_analysis,752,-0.028299912897326474,0.6547079121953612,0.8682832927696523,-0.03369596779675948
abs_Poisson,current_B_rare,elasticnet,ATLAS_train_CMS_test,197,-0.004520744883242278,0.6875729449914623,0.8900184836601208,-1.808711469718703e-16
abs_Poisson,current_B_rare,elasticnet,CMS_train_ATLAS_test,555,-0.005002906895597681,0.6431369510488921,0.8462467608319691,
abs_Poisson,current_B_rare,huber,GroupKFold_by_analysis,752,-0.049555740278180105,0.6301887088302309,0.8772114649229935,0.022036527687859672
abs_Poisson,current_B_rare,huber,ATLAS_train_CMS_test,197,-1.7217933914875214,1.0882580691785277,1.4650321274889444,0.0011083968635179975
abs_Poisson,current_B_rare,huber,CMS_train_ATLAS_test,555,-0.40281010246130844,0.6816043667547729,0.9997992411981472,0.16032781931958015
abs_Poisson,current_B_rare,forest,GroupKFold_by_analysis,752,-0.015404225992684761,0.6544671980546434,0.8628216388576383,0.0706488494972742
abs_Poisson,current_B_rare,forest,ATLAS_train_CMS_test,197,-0.07120901987716577,0.6891657026023356,0.9190871231804952,0.03525244951691477
abs_Poisson,current_B_rare,forest,CMS_train_ATLAS_test,555,0.006451961499287617,0.6184555497283764,0.8414102447276567,0.09472381092239852
abs_Poisson,label_B_rare,ols,GroupKFold_by_analysis,752,-0.03335596631612958,0.6498646368898946,0.8704153086688091,0.03135785109577449
abs_Poisson,label_B_rare,ols,ATLAS_train_CMS_test,197,-3.584511750008363,1.5022264004172412,1.9013677182737825,-0.12683910992557088
abs_Poisson,label_B_rare,ols,CMS_train_ATLAS_test,555,-1380.4735621878203,10.975661322299262,31.375066098268572,0.15351667947137315
abs_Poisson,label_B_rare,ridge,GroupKFold_by_analysis,752,-0.052423395339119994,0.6547109685214346,0.8784090306496208,-0.012443395473752197
abs_Poisson,label_B_rare,ridge,ATLAS_train_CMS_test,197,-2.423615794097507,1.3108522611979663,1.643092758649999,-0.1366796692105579
abs_Poisson,label_B_rare,ridge,CMS_train_ATLAS_test,555,0.000476163972528032,0.644158608395274,0.8439368258357761,0.14869039916329044
abs_Poisson,label_B_rare,elasticnet,GroupKFold_by_analysis,752,-0.032481315854060444,0.6559097262261316,0.870046863359893,-0.02805488055876139
abs_Poisson,label_B_rare,elasticnet,ATLAS_train_CMS_test,197,-0.004520744883242278,0.6875729449914623,0.8900184836601208,-1.808711469718703e-16
abs_Poisson,label_B_rare,elasticnet,CMS_train_ATLAS_test,555,-0.008177891246528457,0.6515846245501069,0.84758242937228,0.12881684569266483
abs_Poisson,label_B_rare,huber,GroupKFold_by_analysis,752,-0.047239013030458965,0.629489209392061,0.8762427777267486,0.057192897699487044
abs_Poisson,label_B_rare,huber,ATLAS_train_CMS_test,197,-2.4383300048091643,1.2593080953047053,1.6466198617297398,-0.061658782236502896
abs_Poisson,label_B_rare,huber,CMS_train_ATLAS_test,555,-1509.046668822201,11.38865598567972,32.802620927115,0.15350407452508996
abs_Poisson,label_B_rare,forest,GroupKFold_by_analysis,752,-0.03761802872854614,0.6432382241370563,0.8722084695646403,0.03683206500747285
abs_Poisson,label_B_rare,forest,ATLAS_train_CMS_test,197,-0.07192607676844665,0.7162220342019522,0.9193946857064216,-0.07670890680937546
abs_Poisson,label_B_rare,forest,CMS_train_ATLAS_test,555,0.00048244824969734257,0.6216519062135117,0.8439341728018653,0.0788200647236932
abs_Poisson,core_or_label_rare,ols,GroupKFold_by_analysis,752,-0.03229817825302428,0.6512387669893456,0.8699696971394347,0.011832622643811935
abs_Poisson,core_or_label_rare,ols,ATLAS_train_CMS_test,197,-1.741479400167429,1.1233955601705152,1.470320676180208,-0.032058356974401826
abs_Poisson,core_or_label_rare,ols,CMS_train_ATLAS_test,555,-1381.3573206651809,10.936955738607312,31.385100147515605,0.15355939371973706
abs_Poisson,core_or_label_rare,ridge,GroupKFold_by_analysis,752,-0.0350325549613828,0.6522041798203023,0.8711211336804331,-0.02851042104673347
abs_Poisson,core_or_label_rare,ridge,ATLAS_train_CMS_test,197,-1.503577683458798,1.097880217620057,1.405076942041763,-0.07130990137998526
abs_Poisson,core_or_label_rare,ridge,CMS_train_ATLAS_test,555,-0.0009554911679479083,0.6406073847448752,0.8445410106055897,0.1392030600672569
abs_Poisson,core_or_label_rare,elasticnet,GroupKFold_by_analysis,752,-0.03137018651602008,0.6558090540485977,0.8695785765182049,-0.028661320506310168
abs_Poisson,core_or_label_rare,elasticnet,ATLAS_train_CMS_test,197,-0.004520744883242278,0.6875729449914623,0.8900184836601208,-1.808711469718703e-16
abs_Poisson,core_or_label_rare,elasticnet,CMS_train_ATLAS_test,555,-0.0050828262507987,0.6432262409576341,0.846280407575932,0.005759067352342846
abs_Poisson,core_or_label_rare,huber,GroupKFold_by_analysis,752,-0.05769941319445793,0.6318639028830706,0.8806081017809115,0.00048077355937308576
abs_Poisson,core_or_label_rare,huber,ATLAS_train_CMS_test,197,-2.0627328135194913,1.1943850792153239,1.5540827031234894,0.0061851056913315265
abs_Poisson,core_or_label_rare,huber,CMS_train_ATLAS_test,555,-1526.742954208235,11.481095733361695,32.99426856516653,0.15353821294073478
abs_Poisson,core_or_label_rare,forest,GroupKFold_by_analysis,752,-0.027825841173081844,0.6529912508690434,0.868083119645911,0.04244162640065556
abs_Poisson,core_or_label_rare,forest,ATLAS_train_CMS_test,197,-0.10007642910134162,0.6811492853726634,0.9313887774530529,0.04440220596858586
abs_Poisson,core_or_label_rare,forest,CMS_train_ATLAS_test,555,0.01035150301174359,0.6168824858061493,0.8397574107091597,0.11989320686014619
abs_Poisson,label_plus_core_rare,ols,GroupKFold_by_analysis,752,-0.027632466442369497,0.6507446994363022,0.8680014554042446,0.05083504111792104
abs_Poisson,label_plus_core_rare,ols,ATLAS_train_CMS_test,197,-1.6273078360878785,1.0938098978713515,1.439378633436556,-0.010689375536612587
abs_Poisson,label_plus_core_rare,ols,CMS_train_ATLAS_test,555,-1381.3989033102853,10.936897262952758,31.38557219104847,0.15357512529757558
abs_Poisson,label_plus_core_rare,ridge,GroupKFold_by_analysis,752,-0.052432773587499204,0.6549120743458555,0.8784129444355325,-0.026187045053553095
abs_Poisson,label_plus_core_rare,ridge,ATLAS_train_CMS_test,197,-1.4254080539449552,1.0913355485157312,1.3829675143332423,-0.08581749721087513
abs_Poisson,label_plus_core_rare,ridge,CMS_train_ATLAS_test,555,0.0019056646907648078,0.6388701083883156,0.8433331183954532,0.14855946042405607
abs_Poisson,label_plus_core_rare,elasticnet,GroupKFold_by_analysis,752,-0.029554242825691857,0.6549977560468054,0.8688127014476948,-0.03186418935346678
abs_Poisson,label_plus_core_rare,elasticnet,ATLAS_train_CMS_test,197,-0.004520744883242278,0.6875729449914623,0.8900184836601208,-1.808711469718703e-16
abs_Poisson,label_plus_core_rare,elasticnet,CMS_train_ATLAS_test,555,-0.004426554895761159,0.6417848132467154,0.846004072001549,-0.0013107823629891528
abs_Poisson,label_plus_core_rare,huber,GroupKFold_by_analysis,752,-0.046892385424178284,0.630594369460532,0.8760977511043728,0.059026715174794006
