primary_dataset,missing_decile_frozen,microband,score_low,score_high,reference_events_in_decile
JetHT,3,q99_100,0.11751620287673763,inf,23072
JetHT,4,q90_95,0.20276804714682164,0.23839368988449003,23071
JetHT,4,q95_97,0.23839368988449003,0.261129933061248,23071
JetHT,4,q97_98,0.261129933061248,0.2767505687297007,23071
JetHT,4,q98_99,0.2767505687297007,0.3006946216778667,23071
JetHT,4,q99_100,0.3006946216778667,inf,23071
JetHT,5,q90_95,0.374962936761457,0.41106275712476953,23072
JetHT,5,q95_97,0.41106275712476953,0.43179443790210104,23072
JetHT,5,q97_98,0.43179443790210104,0.4490958414817226,23072
JetHT,5,q98_99,0.4490958414817226,0.4748007971739304,23072
JetHT,5,q99_100,0.4748007971739304,inf,23072
JetHT,6,q90_95,0.5465096645324455,0.581482824526036,23071
JetHT,6,q95_97,0.581482824526036,0.6038916725946855,23071
JetHT,6,q97_98,0.6038916725946855,0.6199864285233214,23071
JetHT,6,q98_99,0.6199864285233214,0.6420236906533346,23071
JetHT,6,q99_100,0.6420236906533346,inf,23071
JetHT,7,q90_95,0.7288459359341553,0.765745672436495,23071
JetHT,7,q95_97,0.765745672436495,0.786964183774482,23071
JetHT,7,q97_98,0.786964183774482,0.8037889546324657,23071
JetHT,7,q98_99,0.8037889546324657,0.8279913582900086,23071
JetHT,7,q99_100,0.8279913582900086,inf,23071
JetHT,8,q90_95,0.9618809178719518,1.0037396183243876,23071
JetHT,8,q95_97,1.0037396183243876,1.0274327714485108,23071
JetHT,8,q97_98,1.0274327714485108,1.0450664544923878,23071
JetHT,8,q98_99,1.0450664544923878,1.069502128042368,23071
JetHT,8,q99_100,1.069502128042368,inf,23071
JetHT,9,q90_95,1.6871980417769015,1.9507443894297638,23072
JetHT,9,q95_97,1.9507443894297638,2.1555445636097765,23072
JetHT,9,q97_98,2.1555445636097765,2.3225154186429435,23072
JetHT,9,q98_99,2.3225154186429435,2.586999592273273,23072
JetHT,9,q99_100,2.586999592273273,inf,23072
SingleMuon,0,q90_95,-0.9517882010032516,-0.8973532619726239,24083
SingleMuon,0,q95_97,-0.8973532619726239,-0.8614205242978072,24083
SingleMuon,0,q97_98,-0.8614205242978072,-0.8393255349887158,24083
SingleMuon,0,q98_99,-0.8393255349887158,-0.8059697942874771,24083
