run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
280330,41,79375927,41.8127,-1.66408,197.307,3.0573,0.388008,-155.495,9,3,2,508.514,591.576,352.806,106.466,0,1,1,190.863,2,0,0,0.71018,20,1780,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79116151,7.97433,0.443727,14.6712,-2.55632,0.0290545,-6.69686,10,8,5,504.954,539.489,91.4013,82.3134,2,1,3,80.0006,1,0,0,0.814265,20,1766,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78426676,75.405,0.84765,32.9018,1.97672,0.0464899,42.5031,8,6,6,707.72,728.294,188.511,161.025,0,1,1,17.4823,2,1,1,0.983251,23,1874,7,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79678903,47.6482,2.33615,62.1999,1.82828,0.0532161,-14.5517,10,6,5,1168.82,1223.73,305.572,274.137,2,1,3,140.796,1,0,0,0.552649,21,1778,3,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,79280885,28.5737,0.992455,52.5814,1.67296,0.054309,-24.0077,7,2,2,968.191,1040.1,510.063,458.128,1,0,1,20.608,1,0,0,0.620688,22,1559,6,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,79557368,48.0112,0.205302,91.2661,1.12754,0.217598,-43.2549,7,4,2,419.426,466.567,227.306,117.467,0,0,0,0,0,0,0,0.541404,19,1686,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79874742,126.523,1.95005,65.4646,0.717864,0.0597482,61.0582,11,4,3,1095.67,1202.87,498.092,494.48,0,1,1,11.4705,3,1,0,0.87941,30,2121,3,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,78509620,39.7113,-1.11321,50.0625,-1.55005,0.0754462,-10.3512,10,9,7,663.552,678.682,163.248,101.511,1,1,2,76.7229,2,1,0,0.860735,25,1621,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79813688,25.8136,-0.736324,106.4,-2.83339,0.254205,-80.5864,10,6,3,418.559,483.215,124.05,101.102,0,3,3,73.4247,1,0,0,0.588674,18,1945,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79440439,31.4415,2.81441,19.2823,-2.56932,0.19051,12.1592,8,2,1,101.214,210.787,58.8608,42.3535,0,1,1,17.9454,6,3,0,0.946091,27,2110,3,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78858678,29.1485,-0.591668,43.9454,-0.259002,0.128658,-14.7969,6,3,3,341.568,385.6,158.886,132.514,1,0,1,10.7927,1,1,0,0.897586,24,1639,4,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79748600,23.5084,2.54024,68.7992,-2.0002,0.137898,-45.2908,14,5,5,498.913,642.9,144.586,130.646,0,1,1,17.9828,7,0,0,0.842615,31,2330,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78988275,48.0146,1.89361,91.7045,-0.0725807,1,-43.69,8,1,1,91.7045,193.763,91.7045,16.4312,0,0,0,0,1,0,0,0.55235,36,2213,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78721013,35.4587,0.15595,64.0643,1.26652,1,-28.6055,4,1,1,64.0643,128.347,64.0643,29.325,0,0,0,0,0,0,0,0.424021,29,2049,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78570673,76.1921,0.766525,104.545,-1.55653,0.381173,-28.3526,11,4,3,274.271,421.132,112.623,75.9376,1,2,3,61.699,3,3,2,0.998105,20,1324,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,80092465,6.22025,-0.301924,20.5198,0.404163,0.0408035,-14.2995,9,6,3,502.892,558.797,202.984,117.739,0,1,1,13.4118,1,0,0,0.710014,21,1576,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78656497,104.978,0.0197379,102.985,-0.0301806,0.143653,1.99323,6,4,4,716.899,738.758,390.977,116.939,0,1,1,182.865,1,0,0,0.63271,25,1839,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79386293,8.31436,3.06676,52.395,-3.09053,1,-44.0806,3,1,1,52.395,78.2939,52.395,13.7024,0,0,0,0,0,0,0,0.530232,24,1570,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79756658,47.2045,-2.51431,0,0,0,47.2045,6,0,0,0,107.408,29.2934,26.8769,0,0,0,0,0,0,0,0.294524,19,1520,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,78828728,30.4867,2.15602,29.1148,-1.21647,0.0307224,1.37188,7,3,3,947.673,1009.78,469.227,358.457,1,1,2,50.6797,0,0,0,0.248555,19,1727,3,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
280330,41,80219188,37.1166,2.58251,104.367,2.94726,0.155004,-67.2499,11,4,4,673.317,773.472,253.337,183.26,0,2,2,32.9937,2,0,0,0.554088,28,1904,7,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,80158131,16.9397,-2.72597,62.2696,2.61702,0.146199,-45.3298,7,2,2,425.924,496.742,243.012,182.912,0,1,1,134.549,2,0,0,0.800647,41,2537,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79455987,83.9062,2.22143,78.9065,2.04497,0.149619,4.99974,16,5,4,527.385,688.445,251.727,98.3271,0,1,1,10.8577,4,0,0,0.65604,26,1942,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
280330,41,79734773,8.56526,2.34734,18.4972,0.644606,0.0993081,-9.93198,6,2,2,186.261,243.286,102.242,84.0195,0,0,0,0,0,0,0,0.527076,21,1686,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
