primary_dataset,run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,HLT_PFMET120_PFMHT120_IDTight,HLT_PFMETNoMu120_PFMHTNoMu_IDTight,HLT_PFHT800,HLT_PFHT900,HLT_IsoMu20,HLT_IsoMu24,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,HLT_PFMET110_PFMHT110_IDTight,HLT_PFMET170_HBHECleaned,HLT_PFMET170_NotCleaned,HLT_IsoTkMu24,HLT_Mu50,leading_muon_pt
MET,279975,93,65992776,44.9992,1.84677,0.0,0.0,0.0,44.9992,8,0,0,0.0,129.791,28.0074,18.1349,0,0,0,0.0,1,0,0,0.551834,25,1939,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.0,1.0,0.0,0.0,0.0,
MET,279975,93,66734084,44.8564,2.00745,0.0,0.0,0.0,44.8564,6,0,0,0.0,78.5984,17.8161,14.7624,0,0,0,0.0,2,0,0,0.62151,24,1872,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.0,1.0,0.0,0.0,0.0,
MET,279975,93,65599939,70.258,-1.36078,71.5564,-1.20238,0.170232,-1.29843,7,5,4,420.346,445.929,141.896,124.254,1,0,1,122.785,2,1,1,0.980388,31,1720,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,65904073,31.7816,2.20195,120.291,3.08541,1.0,-88.5096,11,1,1,120.291,255.232,120.291,21.5489,4,0,4,52.0307,4,0,0,0.5958,35,2309,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,65587845,27.381,-2.22794,0.0,0.0,0.0,27.381,5,0,0,0.0,64.2128,15.2508,13.1887,1,0,1,10.5105,1,0,0,0.553969,34,2093,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.0,1.0,0.0,0.0,0.0,
MET,279975,93,65504705,99.6992,1.48077,165.705,1.74959,1.0,-66.0062,9,1,1,165.705,270.639,165.705,28.2058,0,0,0,0.0,0,0,0,0.537501,30,2089,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,
MET,279975,93,66946629,86.8041,0.0505548,119.486,0.0728111,0.498228,-32.6819,13,3,3,239.822,409.617,90.5659,89.0317,0,0,0,0.0,4,0,0,0.731856,44,2539,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
MET,279975,93,66889984,29.2236,2.347,0.0,0.0,0.0,29.2236,4,0,0,0.0,52.3499,15.0789,13.9764,0,0,0,0.0,0,0,0,0.529957,32,1941,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.0,1.0,0.0,0.0,0.0,
MET,279975,93,65683836,174.129,-0.449603,55.6741,0.133046,1.0,118.455,5,1,1,55.6741,109.524,55.6741,15.5804,0,0,0,0.0,0,0,0,0.531556,35,1825,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1.0,0.0,0.0,0.0,0.0,
MET,279975,93,65504703,80.0546,0.842587,0.0,0.0,0.0,80.0546,10,0,0,0.0,134.931,19.8828,18.4948,0,0,0,0.0,2,0,0,0.79854,40,2422,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,0,0.0,1.0,0.0,0.0,0.0,
