analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category,source_path,source_url,source_comment,MET_extracted,HT_or_meff_extracted,N_jets_extracted,N_btags_extracted,N_leptons_extracted,MT2_low,MT2_high,MET_threshold,HT_meff_threshold,Njets_threshold,Nb_threshold,is_compressed,is_disappearing_track,is_long_lived,is_displaced,is_high_MET_label,is_high_multiplicity_label,category_enriched,MET_enriched,HT_or_meff_enriched,N_jets_enriched,N_leptons_enriched,N_btags_enriched,MET_imputed,MET_enriched_complete,HT_or_meff_imputed,HT_or_meff_enriched_complete,N_jets_imputed,N_jets_enriched_complete,N_leptons_imputed,N_leptons_enriched_complete,N_btags_imputed,N_btags_enriched_complete,category_imputed,category_enriched_complete,metadata_imputation_count,metadata_verified_fraction
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,6j_Meff_1800,9.0,5.1,1.8,,1800.0,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_1800/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_1800/dataInfo.txt,,,1800.0,,,,,,,1800.0,,,0,0,0,0,0,0,,,1800.0,6.0,,,1,500.0,0,1800.0,0,6.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,6j_Meff_2200,3.0,3.1,1.3,,2200.0,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_2200/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_2200/dataInfo.txt,,,2200.0,,,,,,,2200.0,,,0,0,0,0,0,0,,,2200.0,6.0,,,1,500.0,0,2200.0,0,6.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-07-eff,ATLAS,13,36.1,6j_Meff_2600,1.0,2.2,1.4,,2600.0,6.0,,,,13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_2600/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-07-eff/6j_Meff_2600/dataInfo.txt,,,2600.0,,,,,,,2600.0,,,0,0,0,0,0,0,,,2600.0,6.0,,,1,500.0,0,2600.0,0,6.0,1,2.0,1,1.0,1,uncategorized,4,0.33333333333333337
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,bWN,68.0,71.0,16.0,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bWN/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bWN/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,500.0,1,650.0,1,2.0,1,2.0,1,1.0,1,uncategorized,6,0.0
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,bffN,70.0,60.5,6.1,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bffN/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/bffN/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,500.0,1,650.0,1,2.0,1,2.0,1,1.0,1,uncategorized,6,0.0
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_diag_high,19.0,18.3,2.2,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_high/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_high/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,500.0,1,650.0,1,2.0,1,2.0,1,1.0,1,uncategorized,6,0.0
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_diag_low,34.0,30.3,5.9,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_low/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_low/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,500.0,1,650.0,1,2.0,1,2.0,1,1.0,1,uncategorized,6,0.0
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_diag_med,115.0,115.0,31.0,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_med/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_diag_med/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,500.0,1,650.0,1,2.0,1,2.0,1,1.0,1,uncategorized,6,0.0
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_high,8.0,3.8,1.0,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_high/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_high/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,500.0,1,650.0,1,2.0,1,2.0,1,1.0,1,uncategorized,6,0.0
ATLAS-SUSY-2016-16-eff,ATLAS,13,36.0,tN_med,50.0,36.3,6.6,,,,,,,13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_med/dataInfo.txt,https://raw.githubusercontent.com/SModelS/smodels-database-release/main/13TeV/ATLAS/ATLAS-SUSY-2016-16-eff/tN_med/dataInfo.txt,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,1,500.0,1,650.0,1,2.0,1,2.0,1,1.0,1,uncategorized,6,0.0
