row_id,analysis,signal_region,HT_or_meff,MET,N_btags,N_jets,N_leptons,is_compressed,is_disappearing_track,is_displaced,is_high_MET,is_high_multiplicity,is_long_lived,is_reconstruction_difficult
360,ATLAS-SUSY-2018-32-eff,"SR-SF-0J_mt2=[120,140)",120.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,ATLAS-SUSY-2018-32-eff,"SR-SF-0J_mt2=[140,160)",140.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,ATLAS-SUSY-2018-32-eff,"SR-SF-0J_mt2=[160,180)",160.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,ATLAS-SUSY-2018-32-eff,"SR-SF-0J_mt2=[180,220)",180.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,ATLAS-SUSY-2018-32-eff,"SR-SF-0J_mt2=[220,260)",220.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,ATLAS-SUSY-2018-32-eff,"SR-SF-0J_mt2=[260,inf)",260.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,ATLAS-SUSY-2018-32-eff,"SR-SF-1J_mt2=[100,105)",100.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,ATLAS-SUSY-2018-32-eff,"SR-SF-1J_mt2=[105,110)",105.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,ATLAS-SUSY-2018-32-eff,"SR-SF-1J_mt2=[110,120)",110.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,ATLAS-SUSY-2018-32-eff,"SR-SF-1J_mt2=[120,140)",120.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,ATLAS-SUSY-2018-32-eff,"SR-SF-1J_mt2=[140,160)",140.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,ATLAS-SUSY-2018-32-eff,"SR-SF-1J_mt2=[160,180)",160.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,ATLAS-SUSY-2018-32-eff,"SR-SF-1J_mt2=[180,220)",180.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,ATLAS-SUSY-2018-32-eff,"SR-SF-1J_mt2=[220,260)",220.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,ATLAS-SUSY-2018-32-eff,"SR-SF-1J_mt2=[260,inf)",260.0,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,ATLAS-SUSY-2018-33-eff,SR_MET,,13.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,ATLAS-SUSY-2018-33-eff,SR_MU,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,ATLAS-SUSY-2018-40-eff,MultiBin1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,ATLAS-SUSY-2018-40-eff,MultiBin2,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,ATLAS-SUSY-2018-40-eff,MultiBin3,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,ATLAS-SUSY-2018-40-eff,SingleBin,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,ATLAS-SUSY-2018-41-eff,SR-2B2Q-VZ,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,ATLAS-SUSY-2018-41-eff,SR-2B2Q-Vh,,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,ATLAS-SUSY-2018-41-eff,SR-4Q-VV,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,ATLAS-SUSY-2018-42-eff,SR1000_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,ATLAS-SUSY-2018-42-eff,SR1000_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,ATLAS-SUSY-2018-42-eff,SR1100_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,ATLAS-SUSY-2018-42-eff,SR1100_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,ATLAS-SUSY-2018-42-eff,SR1200_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,ATLAS-SUSY-2018-42-eff,SR1200_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,ATLAS-SUSY-2018-42-eff,SR1300_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,ATLAS-SUSY-2018-42-eff,SR1300_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,ATLAS-SUSY-2018-42-eff,SR1400_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,ATLAS-SUSY-2018-42-eff,SR1400_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,ATLAS-SUSY-2018-42-eff,SR1500_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,ATLAS-SUSY-2018-42-eff,SR1500_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,ATLAS-SUSY-2018-42-eff,SR1600_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,ATLAS-SUSY-2018-42-eff,SR1600_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,ATLAS-SUSY-2018-42-eff,SR1800_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,ATLAS-SUSY-2018-42-eff,SR1800_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,ATLAS-SUSY-2018-42-eff,SR2000_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,ATLAS-SUSY-2018-42-eff,SR2000_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,ATLAS-SUSY-2018-42-eff,SR200_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,ATLAS-SUSY-2018-42-eff,SR200_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,ATLAS-SUSY-2018-42-eff,SR2200_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,ATLAS-SUSY-2018-42-eff,SR2200_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,ATLAS-SUSY-2018-42-eff,SR2400_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,ATLAS-SUSY-2018-42-eff,SR2400_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,ATLAS-SUSY-2018-42-eff,SR2600_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,ATLAS-SUSY-2018-42-eff,SR2600_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,ATLAS-SUSY-2018-42-eff,SR2800_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,ATLAS-SUSY-2018-42-eff,SR2800_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,ATLAS-SUSY-2018-42-eff,SR3000_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,ATLAS-SUSY-2018-42-eff,SR3000_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,ATLAS-SUSY-2018-42-eff,SR300_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,ATLAS-SUSY-2018-42-eff,SR300_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,ATLAS-SUSY-2018-42-eff,SR400_High_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,ATLAS-SUSY-2018-42-eff,SR400_Low_long,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
